@timestamp,event_type,source_ip,query_name,query_name_length,query_type,response_code
2026-07-20T00:04:00,dns_query,10.0.0.16,www.cloudflare.com,18,CNAME,NOERROR
2026-07-20T00:05:00,dns_query,10.0.0.23,www.cloudflare.com,18,A,NOERROR
2026-07-20T00:08:00,dns_query,10.0.0.31,www.office365.com,17,CNAME,NOERROR
2026-07-20T00:12:00,dns_query,10.0.0.31,www.amazonaws.com,17,AAAA,NOERROR
2026-07-20T00:13:00,dns_query,10.0.0.22,www.microsoft.com,17,CNAME,NOERROR
2026-07-20T00:14:00,dns_query,10.0.0.16,www.google.com,14,AAAA,NOERROR
2026-07-20T00:16:00,dns_query,10.0.0.14,www.slack.com,13,AAAA,NOERROR
2026-07-20T00:19:00,dns_query,10.0.0.13,www.cloudflare.com,18,A,NOERROR
2026-07-20T00:23:00,dns_query,10.0.0.23,www.office365.com,17,A,NOERROR
2026-07-20T00:25:00,dns_query,10.0.0.27,www.github.com,14,CNAME,NOERROR
2026-07-20T00:27:00,dns_query,10.0.0.27,www.amazonaws.com,17,CNAME,NOERROR
2026-07-20T00:30:00,dns_query,10.0.0.22,www.google.com,14,CNAME,NOERROR
2026-07-20T00:31:00,dns_query,10.0.0.10,www.github.com,14,AAAA,NOERROR
2026-07-20T00:32:00,dns_query,10.0.0.20,www.slack.com,13,CNAME,NOERROR
2026-07-20T00:36:00,dns_query,10.0.0.22,www.amazonaws.com,17,CNAME,NOERROR
2026-07-20T00:40:00,dns_query,10.0.0.13,www.cloudflare.com,18,AAAA,NOERROR
2026-07-20T00:41:00,dns_query,10.0.0.15,www.cloudflare.com,18,CNAME,NOERROR
2026-07-20T00:45:00,dns_query,10.0.0.32,www.slack.com,13,AAAA,NOERROR
2026-07-20T00:46:00,dns_query,10.0.0.37,www.github.com,14,A,NOERROR
2026-07-20T00:48:00,dns_query,10.0.0.28,www.github.com,14,AAAA,NOERROR
2026-07-20T00:53:00,dns_query,10.0.0.22,www.google.com,14,AAAA,NOERROR
2026-07-20T00:56:00,dns_query,10.0.0.20,www.microsoft.com,17,A,NOERROR
2026-07-20T00:57:00,dns_query,10.0.0.30,www.amazonaws.com,17,A,NOERROR
2026-07-20T01:02:00,dns_query,10.0.0.16,www.amazonaws.com,17,AAAA,NOERROR
2026-07-20T01:05:00,dns_query,10.0.0.36,www.office365.com,17,CNAME,NOERROR
2026-07-20T01:07:00,dns_query,10.0.0.13,www.microsoft.com,17,A,NOERROR
2026-07-20T01:10:00,dns_query,10.0.0.15,www.microsoft.com,17,CNAME,NOERROR
2026-07-20T01:12:00,dns_query,10.0.0.34,www.slack.com,13,CNAME,NOERROR
2026-07-20T01:13:00,dns_query,10.0.0.34,www.microsoft.com,17,CNAME,NOERROR
2026-07-20T01:17:00,dns_query,10.0.0.34,www.github.com,14,CNAME,NOERROR
2026-07-20T01:22:00,dns_query,10.0.0.31,www.github.com,14,CNAME,NOERROR
2026-07-20T01:27:00,dns_query,10.0.0.37,www.cloudflare.com,18,CNAME,NOERROR
2026-07-20T01:30:00,dns_query,10.0.0.24,www.microsoft.com,17,A,NOERROR
2026-07-20T01:34:00,dns_query,10.0.0.30,www.github.com,14,AAAA,NOERROR
2026-07-20T01:37:00,dns_query,10.0.0.11,www.amazonaws.com,17,AAAA,NOERROR
2026-07-20T01:42:00,dns_query,10.0.0.19,www.google.com,14,AAAA,NOERROR
2026-07-20T01:46:00,dns_query,10.0.0.11,www.google.com,14,AAAA,NOERROR
2026-07-20T01:49:00,dns_query,10.0.0.30,www.google.com,14,A,NOERROR
2026-07-20T01:54:00,dns_query,10.0.0.26,www.amazonaws.com,17,AAAA,NOERROR
2026-07-20T01:58:00,dns_query,10.0.0.27,www.amazonaws.com,17,CNAME,NOERROR
2026-07-20T01:59:00,dns_query,10.0.0.39,www.github.com,14,CNAME,NOERROR
2026-07-20T02:01:00,dns_query,10.0.0.29,www.cloudflare.com,18,AAAA,NOERROR
2026-07-20T02:06:00,dns_query,10.0.0.11,www.microsoft.com,17,AAAA,NOERROR
2026-07-20T02:07:00,dns_query,10.0.0.38,www.slack.com,13,AAAA,NOERROR
2026-07-20T02:08:00,dns_query,10.0.0.30,www.amazonaws.com,17,A,NOERROR
2026-07-20T02:09:00,dns_query,10.0.0.32,www.microsoft.com,17,AAAA,NOERROR
2026-07-20T02:13:00,dns_query,10.0.0.26,www.amazonaws.com,17,CNAME,NOERROR
