@timestamp,event_type,source_ip,destination_ip,username,hostname,auth_status
2026-07-20T09:19:12,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:19:23,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:19:36,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:19:51,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:20:04,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:20:17,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:20:26,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:20:37,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:20:46,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:20:57,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:21:12,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:21:23,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:21:36,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:21:47,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:22:02,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:22:10,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:22:25,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:22:38,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:22:47,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:22:56,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:23:10,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:23:21,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:23:36,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:23:46,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:24:00,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:24:13,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:24:22,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:24:36,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:24:51,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:25:05,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:25:14,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:25:24,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:25:34,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:25:44,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:25:52,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:26:02,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:26:17,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:26:27,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:26:42,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:26:55,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:27:05,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:27:15,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:27:23,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:27:31,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:27:40,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:27:50,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T09:28:04,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,failed
2026-07-20T11:28:04,rdp_authentication,192.168.1.110,192.168.1.20,domain\administrator,DC-01,success
